ProteinID	Known_GO_Terms
O34639	GO:0009055, GO:0016491, GO:0045454
O35031	GO:0003998
O50462	GO:0003677, GO:0045927, GO:0097351
O50515	GO:0005737, GO:0009401
O51683	GO:0005524, GO:0005829, GO:0016020, GO:0044183, GO:0046872, GO:0051082, GO:0051085, GO:0051087
O53692	GO:0005576, GO:0005829, GO:0097013
O54439	GO:0000035, GO:0000036, GO:0005829, GO:0009245, GO:0031177
O66505	GO:0005886, GO:0009306, GO:0015450, GO:0043952, GO:0065002
O66564	GO:0005886, GO:0008289, GO:0015986, GO:0045263, GO:0046933
O67339	GO:0005886, GO:0030964, GO:0042773, GO:0048038, GO:0050136
O67650	GO:0000027, GO:0003735, GO:0006412, GO:0022625, GO:0043022, GO:1902626
O67904	GO:0005524, GO:0006412, GO:0006450, GO:0050566, GO:0050567, GO:0070681
O69622	GO:0005576, GO:0005829, GO:0030430, GO:0033668
P00198	GO:0009055, GO:0046872, GO:0051539
P05657	GO:0003735, GO:0006412, GO:0022625
P0A0R6	GO:0005524, GO:0005737, GO:0044183, GO:0046872, GO:0051082, GO:0051085, GO:0051087
P0A126	GO:0000976, GO:0001216, GO:0001217, GO:0006310, GO:0006417, GO:0030527, GO:0032993
P0A1D5	GO:0005524, GO:0005737, GO:0044183, GO:0046872, GO:0051082, GO:0051085, GO:0051087
P0A1R6	GO:0003677, GO:0005829, GO:0030261, GO:0030527
P0A1R8	GO:0003677, GO:0005829, GO:0030261, GO:0030527
P0A1S0	GO:0003677, GO:0005829, GO:0006310, GO:0006355, GO:0006417, GO:0030527
P0A304	GO:0005886, GO:0008289, GO:0015986, GO:0045263, GO:0046933
P0A3K4	GO:0003743, GO:0005737, GO:0009986, GO:0019843, GO:0043022, GO:2001065
P0A6B1	GO:0000035, GO:0000036, GO:0005829, GO:0009245
P0A6G1	GO:0005524, GO:0005737, GO:0044183, GO:0046872, GO:0051082, GO:0051085, GO:0051087
P0A7P5	GO:0002181, GO:0003735, GO:0005737, GO:0022625
P0A7Q6	GO:0002181, GO:0003735, GO:0005737, GO:0006412, GO:0022625
P0A8C8	GO:0005886, GO:0032977, GO:0051205
